id_norma,tipo_norma,organismo_origen,fecha_sancion,texto_original
385121,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385121/norma.htm
385119,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385119/norma.htm
385120,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385120/norma.htm
385167,Resolución,SECRETARIA DE TRABAJO,2023-04-24,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385167/norma.htm
384974,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384974/norma.htm
384975,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384975/norma.htm
384948,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384948/norma.htm
384981,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384981/norma.htm
384952,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384952/norma.htm
384985,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384985/norma.htm
384978,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384978/norma.htm
384996,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384996/norma.htm
384954,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384954/norma.htm
385361,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385361/norma.htm
